Hex Description                 Hex Description

20  SPACE
21  EXCLAMATION MARK            A1  INVERTED EXCLAMATION MARK
22  QUOTATION MARK              A2  CENT SIGN
23  NUMBER SIGN                 A3  POUND SIGN
24  DOLLAR SIGN                 A4  CURRENCY SIGN
25  PERCENT SIGN                A5  YEN SIGN
26  AMPERSAND                   A6  BROKEN BAR
27  APOSTROPHE                  A7  SECTION SIGN
28  LEFT PARENTHESIS            A8  DIAERESIS
29  RIGHT PARENTHESIS           A9  COPYRIGHT SIGN
2A  ASTERISK                    AA  FEMININE ORDINAL INDICATOR
2B  PLUS SIGN                   AB  LEFT-POINTING DOUBLE ANGLE QUOTATION MARK
2C  COMMA                       AC  NOT SIGN
2D  HYPHEN-MINUS                AD  SOFT HYPHEN
2E  FULL STOP                   AE  REGISTERED SIGN
2F  SOLIDUS                     AF  OVERLINE
30  DIGIT ZERO                  B0  DEGREE SIGN
31  DIGIT ONE                   B1  PLUS-MINUS SIGN
32  DIGIT TWO                   B2  SUPERSCRIPT TWO
33  DIGIT THREE                 B3  SUPERSCRIPT THREE
34  DIGIT FOUR                  B4  ACUTE ACCENT
35  DIGIT FIVE                  B5  MICRO SIGN
36  DIGIT SIX                   B6  PILCROW SIGN
37  DIGIT SEVEN                 B7  MIDDLE DOT
38  DIGIT EIGHT                 B8  CEDILLA
39  DIGIT NINE                  B9  SUPERSCRIPT ONE
3A  COLON                       BA  MASCULINE ORDINAL INDICATOR
3B  SEMICOLON                   BB  RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK
3C  LESS-THAN SIGN              BC  VULGAR FRACTION ONE QUARTER
3D  EQUALS SIGN                 BD  VULGAR FRACTION ONE HALF
3E  GREATER-THAN SIGN           BE  VULGAR FRACTION THREE QUARTERS
3F  QUESTION MARK               BF  INVERTED QUESTION MARK
40  COMMERCIAL AT               C0  CAPITAL LETTER A WITH GRAVE
41  CAPITAL LETTER A            C1  CAPITAL LETTER A WITH ACUTE
42  CAPITAL LETTER B            C2  CAPITAL LETTER A WITH CIRCUMFLEX
43  CAPITAL LETTER C            C3  CAPITAL LETTER A WITH TILDE
44  CAPITAL LETTER D            C4  CAPITAL LETTER A WITH DIAERESIS
45  CAPITAL LETTER E            C5  CAPITAL LETTER A WITH RING ABOVE
46  CAPITAL LETTER F            C6  CAPITAL LETTER AE
47  CAPITAL LETTER G            C7  CAPITAL LETTER C WITH CEDILLA
48  CAPITAL LETTER H            C8  CAPITAL LETTER E WITH GRAVE
49  CAPITAL LETTER I            C9  CAPITAL LETTER E WITH ACUTE
4A  CAPITAL LETTER J            CA  CAPITAL LETTER E WITH CIRCUMFLEX
4B  CAPITAL LETTER K            CB  CAPITAL LETTER E WITH DIAERESIS
4C  CAPITAL LETTER L            CC  CAPITAL LETTER I WITH GRAVE
4D  CAPITAL LETTER M            CD  CAPITAL LETTER I WITH ACUTE
4E  CAPITAL LETTER N            CE  CAPITAL LETTER I WITH CIRCUMFLEX
4F  CAPITAL LETTER O            CF  CAPITAL LETTER I WITH DIAERESIS
50  CAPITAL LETTER P            D0  CAPITAL LETTER ETH (Icelandic)
51  CAPITAL LETTER Q            D1  CAPITAL LETTER N WITH TILDE
52  CAPITAL LETTER R            D2  CAPITAL LETTER O WITH GRAVE
53  CAPITAL LETTER S            D3  CAPITAL LETTER O WITH ACUTE
54  CAPITAL LETTER T            D4  CAPITAL LETTER O WITH CIRCUMFLEX
55  CAPITAL LETTER U            D5  CAPITAL LETTER O WITH TILDE
56  CAPITAL LETTER V            D6  CAPITAL LETTER O WITH DIAERESIS
57  CAPITAL LETTER W            D7  MULTIPLICATION SIGN
58  CAPITAL LETTER X            D8  CAPITAL LETTER O WITH STROKE
59  CAPITAL LETTER Y            D9  CAPITAL LETTER U WITH GRAVE
5A  CAPITAL LETTER Z            DA  CAPITAL LETTER U WITH ACUTE
5B  LEFT SQUARE BRACKET         DB  CAPITAL LETTER U WITH CIRCUMFLEX
5C  REVERSE SOLIDUS             DC  CAPITAL LETTER U WITH DIAERESIS
5D  RIGHT SQUARE BRACKET        DD  CAPITAL LETTER Y WITH ACUTE
5E  CIRCUMFLEX ACCENT           DE  CAPITAL LETTER THORN (Icelandic)
5F  LOW LINE                    DF   LETTER SHARP S (German)
60  GRAVE ACCENT                E0   LETTER A WITH GRAVE
61   LETTER A              E1   LETTER A WITH ACUTE
62   LETTER B              E2   LETTER A WITH CIRCUMFLEX
63   LETTER C              E3   LETTER A WITH TILDE
64   LETTER D              E4   LETTER A WITH DIAERESIS
65   LETTER E              E5   LETTER A WITH RING ABOVE
66   LETTER F              E6   LETTER AE
67   LETTER G              E7   LETTER C WITH CEDILLA
68   LETTER H              E8   LETTER E WITH GRAVE
69   LETTER I              E9   LETTER E WITH ACUTE
6A   LETTER J              EA   LETTER E WITH CIRCUMFLEX
6B   LETTER K              EB   LETTER E WITH DIAERESIS
6C   LETTER L              EC   LETTER I WITH GRAVE
6D   LETTER M              ED   LETTER I WITH ACUTE
6E   LETTER N              EE   LETTER I WITH CIRCUMFLEX
6F   LETTER O              EF   LETTER I WITH DIAERESIS
70   LETTER P              F0   LETTER ETH (Icelandic)
71   LETTER Q              F1   LETTER N WITH TILDE
72   LETTER R              F2   LETTER O WITH GRAVE
73   LETTER S              F3   LETTER O WITH ACUTE
74   LETTER T              F4   LETTER O WITH CIRCUMFLEX
75   LETTER U              F5   LETTER O WITH TILDE
76   LETTER V              F6   LETTER O WITH DIAERESIS
77   LETTER W              F7  DIVISION SIGN
78   LETTER X              F8   LETTER O WITH STROKE
79   LETTER Y              F9   LETTER U WITH GRAVE
7A   LETTER Z              FA   LETTER U WITH ACUTE
7B  LEFT CURLY BRACKET          FB   LETTER U WITH CIRCUMFLEX
7C  VERTICAL LINE               FC   LETTER U WITH DIAERESIS
7D  RIGHT CURLY BRACKET         FD   LETTER Y WITH ACUTE
7E  TILDE                       FE   LETTER THORN (Icelandic)
